,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,USA,43680000000.0,35.51,149.05,-0.010700000000000001,286496.0
1,AA,Alcoa Corp,Basic Materials,Aluminum,USA,7790000000.0,,43.37,0.0415,1964952.0
2,AAL,American Airlines Group Inc,Industrials,Airlines,USA,9030000000.0,23.06,13.76,-0.0058,9847383.0
3,AAP,Advance Auto Parts Inc,Consumer Cyclical,Specialty Retail,USA,4260000000.0,96.6,71.52,0.027999999999999997,604088.0
4,AAPL,Apple Inc,Technology,Consumer Electronics,USA,2938240000000.0,29.8,191.62,0.0086,20032565.0
5,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,274430000000.0,46.27,155.41,-0.0105,1563080.0
6,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,35270000000.0,12.07,2.24,-0.0218,3952164.0
7,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,93630000000.0,19.76,147.48,0.0208,1872458.0
8,ABR,Arbor Realty Trust Inc.,Real Estate,REIT - Mortgage,USA,2520000000.0,8.34,13.39,0.0011,755641.0
9,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,177580000000.0,31.8,102.08,-0.018000000000000002,1307828.0
10,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2490000000.0,,15.09,-0.0072,233900.0
11,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,38500000000.0,8.1,102.52,-0.008100000000000001,283242.0
12,ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,11780000000.0,9.15,20.4,0.0015,355984.0
13,ACN,Accenture plc,Technology,Information Technology Services,Ireland,187260000000.0,27.0,297.84,-0.0105,1096579.0
14,ACVA,ACV Auctions Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,3130000000.0,,18.93,-0.0084,395181.0
15,ADBE,Adobe Inc,Technology,Software - Infrastructure,USA,212290000000.0,45.26,473.85,-0.0033,817029.0
16,ADI,Analog Devices Inc.,Technology,Semiconductors,USA,115940000000.0,54.69,233.64,0.0049,850591.0
17,ADM,Archer Daniels Midland Co.,Consumer Defensive,Farm Products,USA,30050000000.0,10.66,60.78,0.0049,759806.0
18,ADMA,Adma Biologics Inc,Healthcare,Biotechnology,USA,2250000000.0,,9.69,0.013600000000000001,802664.0
19,ADNT,Adient plc,Consumer Cyclical,Auto Parts,USA,2460000000.0,16.8,27.44,0.0073,171759.0
20,ADP,Automatic Data Processing Inc.,Industrials,Staffing & Employment Services,USA,100220000000.0,27.34,244.86,-0.016200000000000003,327302.0
21,ADSK,Autodesk Inc.,Technology,Software - Application,USA,45500000000.0,50.24,211.18,-0.0173,443799.0
22,ADT,ADT Inc,Industrials,Security & Protection Services,USA,6590000000.0,10.56,7.24,0.0028000000000000004,553281.0
23,AEE,Ameren Corp.,Utilities,Utilities - Regulated Electric,USA,19030000000.0,16.41,71.38,0.0006,167042.0
24,AEG,Aegon Ltd.,Financial,Insurance - Diversified,Netherlands,11440000000.0,,6.57,-0.020099999999999996,2496896.0
25,AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada,34350000000.0,72.85,68.84,0.0167,503073.0
26,AEO,American Eagle Outfitters Inc.,Consumer Cyclical,Apparel Retail,USA,4660000000.0,27.55,23.71,0.023700000000000002,1674097.0
27,AEP,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric,USA,46800000000.0,16.5,88.78,-0.0022,473404.0
28,AER,Aercap Holdings N.V.,Industrials,Rental & Leasing Services,Ireland,19430000000.0,6.02,92.47,-0.0002,359759.0
29,AES,AES Corp.,Utilities,Utilities - Diversified,USA,15160000000.0,29.55,21.33,0.0203,1367705.0
30,AFL,Aflac Inc.,Financial,Insurance - Life,USA,49630000000.0,9.63,87.33,-0.004,371450.0
31,AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA,9140000000.0,,29.57,-0.015300000000000001,1148566.0
32,AG,First Majestic Silver Corporation,Basic Materials,Silver,Canada,2160000000.0,,7.51,0.047400000000000005,3022562.0
33,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,6750000000.0,33.22,16.99,0.0241,445901.0
34,AGL,Agilon Health Inc,Healthcare,Medical Care Facilities,USA,2460000000.0,,5.97,-0.0197,966689.0
35,AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA,7140000000.0,10.84,9.71,0.0068000000000000005,2937939.0
36,AGR,Avangrid Inc,Utilities,Utilities - Regulated Electric,USA,13930000000.0,15.63,35.99,-0.0054,250788.0
37,AI,C3.ai Inc,Technology,Software - Application,USA,2950000000.0,,24.14,0.0040999999999999995,1834094.0
38,AIG,American International Group Inc,Financial,Insurance - Diversified,USA,51230000000.0,11.52,77.19,-0.010700000000000001,565512.0
39,AIRC,Apartment Income REIT Corp,Real Estate,REIT - Residential,USA,5620000000.0,9.07,38.72,0.0001,523612.0
40,AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,14270000000.0,23.34,93.71,-0.0046,216286.0
41,AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA,5420000000.0,9.83,48.7,0.0031,45661.0
42,ALAB,Astera Labs Inc.,Technology,Semiconductors,USA,10740000000.0,,69.05,-0.0408,868240.0
43,ALB,Albemarle Corp.,Basic Materials,Specialty Chemicals,USA,15150000000.0,46.94,128.94,0.0106,895313.0
44,ALGM,Allegro Microsystems Inc.,Technology,Semiconductors,USA,6130000000.0,40.38,31.62,0.0329,342169.0
45,ALIT,Alight Inc.,Technology,Software - Application,USA,4360000000.0,,7.93,-0.0317,1188501.0
46,ALK,Alaska Air Group Inc.,Industrials,Airlines,USA,5340000000.0,22.46,42.1,-0.0141,257111.0
47,ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,4099999999.9999995,9.55,24.21,0.0079,311065.0
48,ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,43290000000.0,35.8,164.12,-0.0044,296779.0
49,ALLY,Ally Financial Inc,Financial,Credit Services,USA,11750000000.0,15.79,38.64,-0.0042,202834.0
50,ALTM,Arcadium Lithium PLC,Basic Materials,Specialty Chemicals,Ireland,5040000000.0,,4.69,-0.0021,2195559.0
51,AM,Antero Midstream Corp,Energy,Oil & Gas Midstream,USA,6970000000.0,17.99,14.48,0.0038,510745.0
52,AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA,184660000000.0,25.63,223.02,0.0097,1676865.0
53,AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers,Luxembourg,2370000000.0,,3.96,0.0051,240378.0
54,AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,United Kingdom,14300000000.0,21.98,9.9,-0.0045000000000000005,863159.0
55,AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,USA,277890000000.0,251.14,171.93,0.0335,30379612.0
56,AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,39530000000.0,30.01,170.77,-0.0166,174665.0
